Name,Address,Suite,Telephone,Website,Hours,Email,Image Url,Latitude,Longitude,Category
Aberystwyth Arts Centre,"Aberystwyth University - Penglais Campus, Aberystwyth SY23 3DE, UK",,+441970623232,https://www.breatheyourwelsh.cymru/aberystwyth-artscentre,"Monday: 8:00 am – 11:00 pm,Tuesday: 8:00 am – 11:00 pm,Wednesday: 8:00 am – 11:00 pm,Thursday: 8:00 am – 11:00 pm,Friday: 8:00 am – 11:00 pm,Saturday: 8:00 am – 11:00 pm,Sunday: 12:00 – 8:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.4159479,-4.06281809999996,75%+
Aberystwyth Public Library,SY23 2EB,Public Library,+441970633716,https://www.breatheyourwelsh.cymru/aberystwyth-publiclibrary,"Monday: 9:30 am – 6:00 pm,Tuesday: 9:30 am – 6:00 pm,Wednesday: 9:30 am – 5:00 pm,Thursday: 9:30 am – 6:00 pm,Friday: 9:30 am – 5:00 pm,Saturday: 9:30 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.4174848,-4.08152859999996,75%+
Baravin - Restaurant/Cocktails,"1 Marine Terrace, Aberystwyth SY23 2AP, UK",,+441970611189,https://www.breatheyourwelsh.cymru/aberystwyth-baravin,"Monday: 10:00 am – 9:00 pm,Tuesday: 10:00 am – 9:00 pm,Wednesday: 10:00 am – 9:00 pm,Thursday: 10:00 am – 9:00 pm,Friday: 10:00 am – 9:00 pm,Saturday: 10:00 am – 10:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.4170617,-4.08447320000005,75%+
Bar Bach,"4 Castle Square, Caernarfon LL55 2ND, UK",,+441286673111,https://www.breatheyourwelsh.cymru/caernarfon-barbach,"Monday: 10:00 am – 1:30 am,Tuesday: 10:00 am – 1:30 am,Wednesday: 10:00 am – 1:30 am,Thursday: 10:00 am – 1:30 am,Friday: 10:00 am – 1:30 am,Saturday: 10:00 am – 1:30 am,Sunday: 10:00 am – 1:30 am",,/static/miralabs/wixapp/images/blank_image.png,53.139664,-4.27438400000005,75%+
Black Boy Inn,"Stryd Pedwar a Chwech, Caernarfon LL55 1RW, UK",,+441286673604,https://www.breatheyourwelsh.cymru/caernarfon-blackboyinn,"Monday: 7:00 am – 11:00 pm,Tuesday: 7:00 am – 11:00 pm,Wednesday: 7:00 am – 11:00 pm,Thursday: 7:00 am – 11:00 pm,Friday: 7:00 am – 11:00 pm,Saturday: 7:00 am – 11:00 pm,Sunday: 7:00 am – 11:00 pm",,/static/miralabs/wixapp/images/blank_image.png,53.141203,-4.27592089999996,75%+
Bodlon,"12 Park Rd, Cardiff CF14 7BQ, UK",,+442920650564,https://www.breatheyourwelsh.cymru/cardif-bodlon,"Monday: 9:00 am – 6:00 pm,Tuesday: 9:00 am – 6:00 pm,Wednesday: 9:00 am – 6:00 pm,Thursday: 9:00 am – 6:00 pm,Friday: 9:00 am – 6:00 pm,Saturday: 9:00 am – 6:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,51.5161867,-3.22470880000003,50-74%
Brewhouse and Kitchen - Cardiff,"Sophia Cl, Cardiff CF11 9HW, UK",,+442920371599,https://www.breatheyourwelsh.cymru/cardiff-bragdyachegin,"Monday: 11:00 am – 11:00 pm,Tuesday: 11:00 am – 11:00 pm,Wednesday: 11:00 am – 11:00 pm,Thursday: 11:00 am – 11:00 pm,Friday: 11:00 am – 12:00 am,Saturday: 11:00 am – 12:00 am,Sunday: 12:00 – 10:30 pm",,/static/miralabs/wixapp/images/blank_image.png,51.485222,-3.19122300000004,75%+
Broc-Môr,"7 Terrace Rd, Aberystwyth SY23 1NY, UK",,+447813159687,https://www.breatheyourwelsh.cymru/aberystwyth-brocmor,"Monday: 10:00 am – 5:00 pm,Tuesday: 10:00 am – 5:00 pm,Wednesday: 10:00 am – 5:00 pm,Thursday: 10:00 am – 5:00 pm,Friday: 10:00 am – 5:00 pm,Saturday: 10:00 am – 5:00 pm,Sunday: Closed",,/static/miralabs/wixapp/images/blank_image.png,52.4146359,-4.08196320000002,75%+
Caffi Alys,"Canolfan Owain, Glyndwr, Heol Maengwyn, Machynlleth SY20 8EE, UK",,+441654703336,https://www.breatheyourwelsh.cymru/machynlleth-caffialys,"Monday: 9:30 am – 5:00 pm,Tuesday: 9:30 am – 5:00 pm,Wednesday: 9:30 am – 5:00 pm,Thursday: 9:30 am – 5:00 pm,Friday: 9:30 am – 5:00 pm,Saturday: 9:30 am – 5:00 pm,Sunday: 10:00 am – 4:00 pm",,/static/miralabs/wixapp/images/blank_image.png,52.5908539,-3.84925699999997,75%+
Caffi Seren,"31 Castle St, Tredegar NP22 3DG, UK",          Cafe,+441495724496,https://www.breatheyourwelsh.cymru/tredegar-caffiseren,,,/static/miralabs/wixapp/images/blank_image.png,51.772268,-3.24614580000002,75%+
