key,translatorHint,value
pageTitleKeyHome, "Home", "Casa"
pageTitleKeyMap, "Map", "Carta geografica"
pageTitleKeyVocabulary, "Vocab", "Vocab"
pageTitleKeyAbout, "About", "Di"
pageTitleKeySubmit, "Submit", "Invia"
pageTitleKeyPrivacy, "Privacy", "Privacy"
pageTitleTagKeyHome, "BYW | Home", "BYW | Casa"
pageTitleTagKeyMap, "BYW | Map", "BYW | Carta geografica"
pageTitleTagKeyVocabulary, "BYW | Vocab", "BYW | Vocab"
pageTitleTagKeyAbout, "BYW | About", "BYW | Di"
pageTitleTagKeySubmit, "BYW | Submit", "BYW | Invia"
pageTitleTagKeyPrivacy, "BYW | Privacy", "BYW | Privacy"
pageTitleTagKey404, "BYW | Page Not Found", "BYW | Pagina non trovata"
footerTest404, "Test the 404 page", "Prova la pagina 404"
footerContributing, "Contributing", "Contribuire"
footerP1, "Everyone can help learners find places to go and use their Welsh. Your submissions also help us to monitor how much the language is used, not just in Wales, but across the world", "Tutti possono aiutare gli studenti a trovare posti dove andare e utilizzare il loro gallese. I tuoi contributi ci aiutano anche a monitorare quanto la lingua viene utilizzata, non solo in Galles, ma in tutto il mondo"
footerP2, "Submitting a review is quick and no account or login is required. If you are aware of a place that Welsh can be heard and used, but is not already in our index, submitting it to the index will let others know", "L'invio di una recensione è veloce e non è richiesto alcun account o accesso. Se sei a conoscenza di un luogo in cui il gallese può essere ascoltato e utilizzato, ma non è già nel nostro indice, inviarlo all'indice ne informerà gli altri"
footerUsefulLinks, "Useful links", "Link utili"
footerVisitOn, "Visit us on", "Venite a trovarci su"
category0, "Highly unlikely", "Altamente improbabile"
category1, "Not very likely", "Non molto probabile"
category2, "Likely", "Probabile"
category3, "Very likely", "Molto probabilmente"
category4, "Highly likely", "Molto probabile"
category5, "Definitely", "Decisamente"
show, "Show", "Spettacolo"
categorise, "Categorise", "Classificare"
notFoundTitle, "404 Not Found", "404 non trovato"
homeCrowdSourced, "Crowd sourced", "Folla di provenienza"
homeWelsh, "Welsh", "Gallese"
homeLanguageResource, "language resource", "Risorsa linguistica"
homeLets, "Let's", "Andiamo"
homeFind, "find", "trova"
homeSomewhere, "somewhere", "da qualche parte"
homeHeroTitle, "Find out where to use and hear the language", "Scopri dove usare e ascolta la lingua"
homeSearch, "Search", "Ricerca"
homeSearchPlaceholder, "What are you searching for?", "Che cosa stai cercando?"
homeSearchResults, "Search Results", "risultati di ricerca"
homeLocationPlaceholder, "Location", "Posizione"
homeAnd, "and", "e"
homeMore, "more", "di più"
homeApi, "API", "API"
homeMap, "Map", "Carta geografica"
homeLanguages, "Languages", "Le lingue"
homeLanguageChoose, "Choose your preferred language", "Scegli la tua lingua preferita"
homeServicesSectionTitle, "Our Services", "I nostri servizi"
homeServicesSectionTitle1, "What does", "Cosa fa"
homeServicesSectionTitle2, "do for me?", "fare per me?"
homeServices1Title, "Local Places", "Luoghi locali"
homeServices1Desc, "This site is simply about getting people to use their Welsh. It is available in a couple of languages to help learners from all parts of the globe to find places to use and improve their Welsh skills", "Questo sito serve semplicemente a convincere le persone a usare il loro gallese. È disponibile in un paio di lingue per aiutare gli studenti di tutte le parti del mondo a trovare luoghi da utilizzare e migliorare le loro abilità gallesi"
homeServices2Title, "Native Speakers", "Madrelingua"
homeServices2Desc, "However, this is not just about learners. Those fluent need to also use their Welsh whenever they can. Welsh needs to be heard on the street, in the shops and wherever we get together", "Tuttavia, non si tratta solo di studenti. Quelli fluenti devono anche usare il loro gallese ogni volta che possono. Il gallese ha bisogno di essere ascoltato per strada, nei negozi e ovunque ci incontriamo"
homeServices3Title, "Days out", "Giorni fuori"
homeServices3Desc, "So, before you shop, go on a day out, or whatever you like to do, see if there will be a Welsh language welcome and, above all, use your Welsh yourself!", "Quindi, prima di fare acquisti, esci una giornata, o qualunque cosa ti piaccia fare, vedi se ci sarà un benvenuto in lingua gallese e, soprattutto, usa tu stesso il tuo gallese!"
homeThoughtOfTheDay, "Thought of the day", "Pensiero del giorno"
mapResult, "Result", "Risultato"
mapResults, "Results", "Risultati"
mapPages, "Pages", "Pages"
mapSearchPlaceholder, "Search for places, coordinates and postcodes", "Cerca luoghi, coordinate e codici postali"
mapLegendTitle, "Legend to the map", "Legenda alla mappa"
