plywood, pren tair haen, celf,
abacus, abacws, celf,
aboriginal, cynfrodorol, celf,
aboriginal art, celfyddyd gynfrodorol, celf,
abra file, ffeil abra, celf,
abra frame, ffrâm abra, celf,
abrade, sgrafellu, celf,
abrasion, sgraffiniad, celf,
abrasive, sgraffiniol, celf,
abrasive, sgraffinydd, celf,
absorb, amsugno, celf,
absorbent, amsugnol, celf,
absorbent, amsugnydd, celf,
absorbent fabric, ffabrig amsugnol, celf,
absorbent material, defnydd amsugnol, celf,
absorbent pad, pad amsugnol, celf,
absorbent paper, papur amsugnol, celf,
absorption, amsugniad, celf,
abstract, haniaethol, celf,
abstract art, celfyddyd haniaethol, celf,
abstract design, dyluniad haniaethol, celf,
abstract design, cynllun haniaethol, celf,
abstract expressionism, mynegiadaeth haniaethol, celf,
abstract painting, paentiad haniaethol, celf,
abstract painting, peintio haniaethol, celf,
abstract pattern, patrwm haniaethol, celf,
abstraction, haniaeth, celf,
academy board, bwrdd academi, celf,
academy figure, ffigur academi, celf,
accelerate, cyflymu, celf,
acceleration, cyflymiad, celf,
accelerator, cyflymydd, celf,
accent, acen, celf,
accent, acennu, celf,
access, mynediad, celf,
accessory, ategol, celf,
accessory, ategolyn, celf,
accumulate, cronni, celf,
accumulation, croniad, celf,
accuracy, cywirdeb, celf,
accuracy, manwl gywirdeb, celf,
accurate, cywir, celf,
accurate, manwl gywir, celf,
acetal, asetal, celf,
acetate, asetad, celf,
acetate sheet, asetyn, celf,
acetone, aseton, celf,
acetylene, asetylen, celf,
acetylene welding, weldio asetylen, celf,
achromatic, acromatig, celf,
acid, asid, celf,
acid bath, baddon asid, celf,
acid dye, llifyn asid, celf,
acid pickle, picl asid, celf,
acid resisting, gwrthasid, celf,
acid resisting varnish, farnais gwrthasid, celf,
acidic, asidig, celf,
acrobat, acrobat, celf,
acrylic, acrylig, celf,
acrylic canvas, cynfas acrylig, celf,
acrylic colour, lliw acrylig, celf,
acrylic medium, cyfrwng acrylig, celf,
acrylic paint, paent acrylig, celf,
acrylic resin, resin acrylig, celf,
acryloid, acryloid, celf,
action, arwaith, celf,
action painting, paentiad gweithredol, celf,
action painting, peintio gweithredol, celf,
